paper_id,author_id,author_order
P00160,A00502,25
P00160,A00503,26
P00160,A00504,27
P00160,A00505,28
P00160,A00506,29
P00160,A00507,30
P00160,A00508,31
P00160,A00509,32
P00160,A00510,33
P00160,A00511,34
P00160,A00512,35
P00160,A00513,36
P00160,A00514,37
P00160,A00515,38
P00160,A00516,39
P00160,A00517,40
P00160,A00518,41
P00161,A00519,1
P00161,A00520,2
P00161,A00004,3
P00162,A00521,1
P00162,A00520,2
P00162,A00004,3
P00163,A00522,1
P00163,A00523,2
P00163,A00524,3
P00164,A00525,1
P00164,A00526,2
P00164,A00527,3
P00164,A00528,4
P00164,A00417,5
P00164,A00529,6
P00165,A00530,1
P00165,A00531,2
P00165,A00532,3
P00165,A00533,4
P00165,A00080,5
P00165,A00534,6
P00166,A00258,1
P00166,A00259,2
P00166,A00261,3
P00166,A00262,4
P00166,A00535,5
P00166,A00260,6
P00166,A00536,7
P00166,A00537,8
P00166,A00538,9
P00166,A00539,10
P00167,A00540,1
P00167,A00541,2
P00167,A00542,3
P00168,A00408,1
P00168,A00543,2
P00168,A00544,3
P00169,A00336,1
P00169,A00545,2
P00169,A00218,3
P00169,A00003,4
P00170,A00368,1
P00170,A00283,2
P00170,A00369,3
P00170,A00371,4
P00171,A00546,1
P00171,A00547,2
P00171,A00548,3
P00171,A00549,4
P00172,A00381,1
P00172,A00367,2
P00172,A00383,3
P00173,A00088,1
P00173,A00221,2
P00173,A00004,3
P00173,A00178,4
P00173,A00336,5
P00173,A00141,6
P00174,A00177,1
P00174,A00550,2
P00175,A00089,1
P00175,A00004,2
P00175,A00551,3
P00175,A00552,4
P00176,A00553,1
P00176,A00168,2
P00176,A00264,3
P00176,A00554,4
P00176,A00225,5
P00176,A00221,6
P00176,A00231,7
P00176,A00468,8
P00176,A00456,9
P00176,A00555,10
P00177,A00556,1
P00177,A00557,2
P00177,A00558,3
P00177,A00559,4
P00177,A00560,5
P00177,A00561,6
P00177,A00562,7
P00177,A00563,8
P00178,A00223,1
P00178,A00441,2
P00178,A00169,3
P00178,A00564,4
P00178,A00565,5
P00178,A00014,6
P00178,A00067,7
P00179,A00271,1
P00180,A00566,1
P00180,A00225,2
P00180,A00395,3
P00180,A00567,4
P00180,A00265,5
P00181,A00568,1
P00181,A00569,2
P00181,A00570,3
P00181,A00571,4
P00181,A00572,5
P00181,A00219,6
P00182,A00265,1
P00182,A00067,2
P00182,A00406,3
P00182,A00264,4
P00183,A00573,1
P00183,A00086,2
P00184,A00210,1
P00184,A00212,2
P00184,A00211,3
P00185,A00574,1
P00185,A00575,2
P00185,A00576,3
P00185,A00577,4
P00186,A00166,1
P00186,A00168,2
P00186,A00578,3
P00186,A00305,4
P00186,A00141,5
P00186,A00221,6
P00186,A00579,7
P00186,A00067,8
P00186,A00167,9
P00186,A00075,10
P00186,A00170,11
P00186,A00203,12
P00186,A00144,13
P00186,A00171,14
P00187,A00580,1
P00187,A00581,2
P00187,A00582,3
P00187,A00583,4
P00188,A00062,1
P00188,A00584,2
P00189,A00585,1
P00189,A00221,2
P00189,A00180,3
P00190,A00153,1
P00191,A00586,1
P00191,A00587,2
P00191,A00588,3
P00191,A00589,4
P00192,A00434,1
P00192,A00004,2
P00192,A00590,3
P00193,A00434,1
P00193,A00591,2
P00193,A00592,3
P00193,A00590,4
P00193,A00004,5
P00193,A00593,6
P00193,A00554,7
P00193,A00594,8
P00194,A00595,1
P00194,A00087,2
P00194,A00596,3
P00194,A00597,4
P00194,A00598,5
P00194,A00599,6
P00194,A00362,7
P00194,A00314,8
P00194,A00600,9
P00194,A00601,10
P00194,A00602,11
P00194,A00603,12
P00194,A00604,13
P00194,A00605,14
P00194,A00606,15
P00195,A00394,1
P00195,A00264,2
P00196,A00408,1
P00196,A00607,2
P00197,A00608,1
P00198,A00609,1
P00198,A00610,2
P00198,A00584,3
P00198,A00063,4
P00199,A00391,1
P00199,A00144,2
P00199,A00611,3
P00200,A00612,1
P00200,A00613,2
P00200,A00614,3
P00200,A00615,4
P00200,A00616,5
P00201,A00617,1
P00201,A00618,2
P00201,A00390,3
P00202,A00408,1
P00202,A00607,2
P00202,A00619,3
P00202,A00620,4
P00203,A00435,1
P00203,A00436,2
P00203,A00621,3
P00203,A00007,4
P00203,A00117,5
P00204,A00408,1
P00204,A00543,2
P00204,A00622,3
P00205,A00521,1
P00205,A00004,2
P00205,A00623,3
P00205,A00624,4
P00205,A00625,5
P00206,A00626,1
P00206,A00627,2
P00206,A00628,3
P00206,A00629,4
P00206,A00630,5
P00206,A00631,6
P00206,A00632,7
P00207,A00633,1
P00207,A00114,2
P00207,A00634,3
P00207,A00635,4
P00208,A00636,1
P00208,A00637,2
P00208,A00638,3
P00208,A00639,4
P00208,A00640,5
P00208,A00641,6
P00208,A00642,7
P00208,A00643,8
P00208,A00644,9
P00209,A00645,1
P00209,A00177,2
P00209,A00026,3
P00209,A00646,4
P00209,A00051,5
P00209,A00291,6
P00210,A00619,1
P00210,A00607,2
P00210,A00408,3
P00211,A00585,1
P00211,A00647,2
P00211,A00648,3
P00211,A00114,4
P00212,A00610,1
P00212,A00063,2
P00212,A00649,3
P00212,A00650,4
P00212,A00651,5
P00212,A00170,6
P00212,A00652,7
P00213,A00653,1
P00213,A00654,2
P00213,A00655,3
P00213,A00180,4
P00213,A00656,5
P00214,A00088,1
P00214,A00436,2
P00214,A00657,3
P00214,A00290,4
P00214,A00004,5
P00214,A00221,6
P00215,A00193,1
P00215,A00030,2
P00215,A00033,3
P00215,A00295,4
P00216,A00658,1
P00216,A00651,2
P00216,A00652,3
P00216,A00218,4
P00217,A00659,1
P00217,A00660,2
P00217,A00661,3
P00217,A00662,4
P00217,A00663,5
P00217,A00664,6
P00217,A00665,7
P00217,A00666,8
P00217,A00667,9
P00217,A00668,10
P00217,A00669,11
P00217,A00670,12
P00217,A00671,13
P00217,A00672,14
P00217,A00673,15
P00217,A00674,16
P00217,A00675,17
P00217,A00676,18
P00217,A00677,19
P00217,A00678,20
P00217,A00679,21
P00217,A00087,22
P00217,A00314,23
P00217,A00680,24
P00217,A00681,25
P00217,A00682,26
P00217,A00683,27
P00217,A00404,28
P00217,A00684,29
P00218,A00088,1
P00218,A00436,2
P00218,A00657,3
P00218,A00290,4
P00218,A00004,5
P00218,A00221,6
P00219,A00685,1
P00220,A00369,1
P00220,A00433,2
P00221,A00369,1
P00221,A00283,2
P00221,A00368,3
P00221,A00385,4
P00222,A00056,1
P00222,A00383,2
P00222,A00384,3
P00222,A00051,4
P00223,A00686,1
P00223,A00687,2
P00224,A00149,1
P00224,A00148,2
P00224,A00256,3
P00224,A00688,4
P00224,A00689,5
P00224,A00150,6
P00224,A00690,7
P00225,A00406,1
P00225,A00067,2
P00225,A00221,3
P00225,A00014,4
P00226,A00691,1
P00226,A00624,2
P00226,A00692,3
P00226,A00091,4
P00226,A00693,5
P00226,A00694,6
P00227,A00695,1
P00227,A00696,2
P00227,A00697,3
P00227,A00698,4
P00228,A00153,1
P00228,A00699,2
P00228,A00700,3
P00228,A00701,4
P00228,A00702,5
P00229,A00391,1
P00229,A00392,2
P00229,A00229,3
P00229,A00466,4
P00229,A00179,5
P00229,A00393,6
P00229,A00703,7
P00230,A00645,1
P00230,A00026,2
P00230,A00177,3
P00230,A00051,4
P00230,A00704,5
P00230,A00705,6
P00231,A00706,1
P00231,A00707,2
P00231,A00708,3
P00232,A00709,1
P00232,A00439,2
P00232,A00089,3
P00232,A00438,4
P00232,A00004,5
P00232,A00710,6
P00233,A00609,1
P00233,A00584,2
P00234,A00711,1
P00234,A00264,2
P00234,A00712,3
P00235,A00713,1
P00235,A00168,2
P00235,A00406,3
P00235,A00264,4
