author_id,author_name
A00455,J. B. Blake
A00456,R. P. Lepping
A00457,N. Sultan
A00458,R. Renner
A00459,J.L.P. Dionne
A00460,Ya.I.. Feldstein
A00461,L.I. Gromova
A00462,A.E. Levitin
A00463,V.O. Papitashvili
A00464,B.A. Belov
A00465,R.A. Greemvald
A00466,L. Barthes
A00467,J.-C. Cerisier
A00468,J.-P. Villain
A00469,J. MacDougall
A00470,J. F. Cecile
A00471,J. H. A. Sobral
A00472,R. M. Winglee
A00473,R. P. Lin
A00474,N. F. Blagoveshchenskaya
A00475,V. A. Kornienko
A00476,A. V. Petlenko
A00477,A. Brekke
A00478,M. T. Rietveld
A00479,P. Brown
A00480,M.D. Campbell
A00481,K.J. Ellis
A00482,R.L. Hawkes
A00483,J. Jones
A00484,P. Gural
A00485,D. Babcock
A00486,C. Barnbaum
A00487,R.K. Bartlett
A00488,M. Bedard
A00489,J. Bedient
A00490,M. Beech
A00491,N. Brosch
A00492,S. Clifton
A00493,B. Cooke
A00494,P. Goetz
A00495,J. K. Gaines
A00496,L. Gramer
A00497,J. Gray
A00498,A.R. Hildebrand
A00499,D. Jewell
A00500,A. Jones
A00501,M. Leake
A00502,A.G. LeBlanc
A00503,J.K. Looper
A00504,B.A. McIntosh
A00505,T. Montague
A00506,M.J. Morrow
A00507,I.S. Murray
A00508,S. Nikolova
A00509,J. Robichaud
A00510,R. Spondor
A00511,J. Talarico
A00512,C. Theijsmeijer
A00513,B. Tilton
A00514,M. Treu
A00515,C. Vachon
A00516,A.R. Webster
A00517,R. Weryk
A00518,S.P. Worden
A00519,Chao‐Song Huang
A00520,Dieter A. Andre
A00521,Chao-Song Huang
A00522,N. Kasai
A00523,H. Takashima
A00524,M. Koyanagi
A00525,Gérard Thuillier
A00526,William Gault
A00527,Jean-Francis Brun
A00528,Michel Hersé
A00529,Charles Hersom
A00530,J.R Taylor
A00531,M Lester
A00532,T.K Yeoman
A00533,R Greenwald
A00534,J.-P Villain
A00535,J. Urrutia-Fucugauchi
A00536,E. Graniel-Castro
A00537,A. Camara-Zi
A00538,J. F. Halpenny
A00539,D. Niehaus
A00540,B. Jenkins
A00541,M. J. Jarvis
A00542,D. M. Forbes
A00543,Gareth Chisham
A00544,Stuart D. Bale
A00545,Frances R. Fenrich
A00546,G.H Choi
A00547,I.K Monson
A00548,V.B Wickwar
A00549,D Rees
A00550,D. R. Weimer
A00551,Kile Baker
A00552,John MacDougall
A00553,J. R. Taylor
A00554,Mark Lester
A00555,Marc R. Hairston
A00556,Marc Elmouttie
A00557,Bärbel Koribalski
A00558,Scott Gordon
A00559,Keith Taylor
A00560,Sally Houghton
A00561,Tracy Lavezzi
A00562,Raymond Haynes
A00563,Keith Jones
A00564,J. Pickett
A00565,J. Scudder
A00566,N. F. Arnold
A00567,A. J. Stocker
A00568,J. H. Hecht
A00569,A. B. Christensen
A00570,D. J. Strickland
A00571,T. Majeed
A00572,R. L. Gattinger
A00573,C. M. Cully
A00574,M. Solan
A00575,R. Kennedy
A00576,M.S. Curé
A00577,B.F. Keegan
A00578,V. N. Davda
A00579,M. R. Hairston
A00580,E. Calloni
A00581,L. Di Fiore
A00582,A. Grado
A00583,L. Milano
A00584,I. R. Mann
A00585,S. G. Shepherd
A00586,M. L. Parkinson
A00587,A. M. Breed
A00588,P. L. Dyson
A00589,R. J. Morris
A00590,William A. Bristow
A00591,J. Michael Ruohoniemi
A00592,Kile B. Baker
A00593,Jean-Paul Villain
A00594,Jim Slavin
A00595,S. Ohtani
A00596,K. Takahashi
A00597,V. Angelopoulos
A00598,M. Nakamura
A00599,C. Waters
A00600,K. Tsuruda
A00601,W.J. Hughes
A00602,T.A. Potemra
A00603,L.J. Zanetti
A00604,J.B. Gary
A00605,A.T.Y. Lui
A00606,D.J. Williams
A00607,Andrew N. Wright
A00608,O. Amm
A00609,R. A. Mathie
A00610,F. W. Menk
A00611,A.S. Rodger
A00612,M. J. Lawrence
A00613,B. Willke
A00614,M. E. Husman
A00615,E. K. Gustafson
A00616,R. L. Byer
A00617,I. Voronkov
A00618,E. Friedrich
A00619,Katharine J. Mills
A00620,Valery M. Nakariakov
A00621,J.-F. Cecile
A00622,James A. Wanliss
A00623,David Murr
A00624,W. Jeffrey Hughes
A00625,Therese Moretto
A00626,Eero Pekkonen
A00627,Iiro P Jääskeläinen
A00628,Marja Hietanen
A00629,Minna Huotilainen
A00630,Risto Näätänen
A00631,Risto J Ilmoniemi
A00632,Timo Erkinjuntti
A00633,Erena Friedrich
A00634,Martin Gerard Connors
A00635,R.L. McPherron
A00636,I. Tittonen
A00637,G. Breitenbach
A00638,T. Kalkbrenner
A00639,T. Müller
A00640,R. Conradt
A00641,S. Schiller
A00642,E. Steinsland
A00643,N. Blanc
A00644,N. F. de Rooij
A00645,W. B. Lyatsky
A00646,B. Jacobsen
A00647,James LaBelle
A00648,Charles W. Carlson
A00649,M. A. Clilverd
A00650,A. J. Smith
A00651,C. L. Waters
A00652,B. J. Fraser
A00653,Cesar E. Valladares
A00654,D. Alcaydé
A00655,Juan V. Rodriguez
A00656,A. P. Van Eyken
A00657,I. F. Grant
A00658,T. M. Loto'aniu
A00659,J.S. Pickett
A00660,D.A. Gurnett
A00661,J.D. Menietti
A00662,M.J. LeDocq
A00663,J.D. Scudder
A00664,L.A. Frank
A00665,J.B. Sigwarth
A00666,K.L. Ackerson
A00667,D.D. Morgan
A00668,J.R. Franz
A00669,P.M. Kintner
A00670,B.T. Tsurutani
A00671,C.M. Ho
A00672,J. Chen
