author_id,author_name
A00216,M. G. Henderson
A00217,Joseph Benjamin Harold Baker
A00218,Kjellmar Oksavik
A00219,Jesper W. Gjerloev
A00220,Larry J. Paxton
A00221,Marc R. Hairston
A00222,J. W. Gjerloev
A00223,K. Takahashi
A00224,D. Sibeck
A00225,K. Oksavik
A00226,R. Barnes
A00227,J. Baker
A00228,S. M. Imber
A00229,José Chilo
A00230,Abbas Jabor
A00231,Ludwik Lizska
A00232,Åge J. Eide
A00233,Thomas Lindblad
A00234,Weining William Liu
A00235,Igor Voronkov
A00236,Mathieu Meurant
A00237,K.‐H. Kim
A00238,D. Berube
A00239,John MacDougall
A00240,P. E. Sandholt
A00241,C. J. Farrugia
A00242,R. E. Hibbins
A00243,P. J. Espy
A00244,M. J. Jarvis
A00245,Y. Rinne
A00246,J. Moen
A00247,H. C. Carlson
A00248,K. Sakaguchi
A00249,K. Shiokawa
A00250,A. Ieda
A00251,Y. Miyoshi
A00252,Y. Otsuka
A00253,T. Ogawa
A00254,M. Palmroth
A00255,N. Partamies
A00256,J. Polvi
A00257,D. J. McComas
A00258,R. J. Barnes
A00259,P. Stauning
A00260,C. W. Smith
A00261,R. Vainio
A00262,N. Blagoveshchenskaya
A00263,V. Kornienko
A00264,T.R. Robinson
A00265,R.S. Dhillon
A00266,L.J. Baddeley
A00267,D. V. Blagoveshchensky
A00268,V. A. Kornienko
A00269,D. L. Green
A00270,H. Korth
A00271,B. J. Anderson
A00272,A. J. Ridley
A00273,V. K. Jordanova
A00274,A. Sharma
A00275,S. B. Malinga
A00276,Xu L.
A00277,Xu J.-S.
A00278,Koustov A.V.
A00279,L. Norin
A00280,S. M. Grach
A00281,B. Thidé
A00282,E. N. Sergeev
A00283,T. B. Leyser
A00284,D. L. Hysell
A00285,L. Xu
A00286,J. S. Xu
A00287,R. A. Drayton
A00288,L. Huo
A00289,Renata Lukianova
A00290,C. Hanuise
A00291,F. Christiansen
A00292,L. J. Baddeley
A00293,R. S. Dhillon
A00294,T. R. Robinson
A00295,D. M. Wright
A00296,A. Keiling
A00297,D. Larson
A00298,R. Lin
A00299,J. McFadden
A00300,C. Carlson
A00301,J. W. Bonnell
A00302,F. S. Mozer
A00303,K.‐H. Glassmeier
A00304,H. U. Auster
A00305,W. Magnes
A00306,S. Mende
A00307,H. Frey
A00308,A. Roux
