paper_id,instrument_id,instrument_status
P00258,I00003,uses
P00258,I00004,uses
P00259,I00005,uses
P00259,I00003,uses
P00259,I00004,uses
P00259,I00017,uses
P00260,I00005,uses
P00261,I00005,uses
P00262,I00005,uses
P00263,I00005,uses
P00263,I00011,uses
P00264,I00005,uses
P00265,I00005,uses
P00266,I00005,uses
P00266,I00011,uses
P00267,I00005,uses
P00267,I00011,uses
P00268,I00005,uses
P00269,I00005,uses
P00270,I00005,uses
P00271,I00005,uses
P00272,I00005,uses
P00272,I00011,uses
P00273,I00005,uses
P00274,I00005,uses
P00274,I00003,uses
P00274,I00004,uses
P00275,I00005,uses
P00276,I00005,uses
P00277,I00005,uses
P00278,I00005,uses
P00279,I00005,uses
P00280,I00005,uses
P00280,I00004,uses
P00280,I00011,uses
P00281,I00005,uses
P00282,I00005,uses
P00283,I00005,uses
P00283,I00011,uses
P00284,I00005,uses
P00284,I00011,uses
P00285,I00005,uses
P00286,I00005,uses
P00286,I00021,uses
P00287,I00005,uses
P00288,I00005,uses
P00289,I00005,uses
P00289,I00011,uses
P00290,I00005,uses
P00290,I00004,uses
P00291,I00005,uses
P00291,I00011,uses
P00292,I00005,uses
P00293,I00005,uses
P00293,I00018,uses
P00293,I00011,uses
P00294,I00005,uses
P00294,I00011,uses
P00295,I00005,uses
P00295,I00011,uses
P00296,I00005,uses
P00296,I00004,uses
P00297,I00022,uses
P00297,I00005,uses
P00297,I00011,uses
P00298,I00005,uses
P00298,I00009,uses
P00299,I00005,uses
P00299,I00011,uses
P00300,I00005,uses
P00301,I00005,uses
P00301,I00022,uses
P00301,I00011,uses
P00302,I00005,uses
P00302,I00011,uses
P00303,I00005,uses
P00304,I00005,uses
P00305,I00005,uses
P00306,I00005,uses
P00307,I00005,uses
P00308,I00005,uses
P00308,I00011,uses
P00309,I00005,uses
P00310,I00005,uses
P00311,I00005,uses
P00312,I00022,uses
P00312,I00005,uses
P00313,I00005,uses
P00314,I00005,uses
P00315,I00005,uses
P00316,I00005,uses
P00316,I00004,uses
P00317,I00022,uses
P00317,I00005,uses
P00317,I00011,uses
P00318,I00005,uses
P00319,I00005,uses
P00320,I00005,uses
P00320,I00011,uses
P00321,I00005,uses
P00322,I00005,uses
P00323,I00005,uses
P00324,I00005,uses
P00324,I00018,uses
P00324,I00011,uses
P00325,I00005,uses
P00326,I00005,uses
P00327,I00005,uses
P00328,I00005,uses
P00328,I00017,uses
P00328,I00013,uses
P00329,I00005,uses
P00330,I00005,uses
P00331,I00005,uses
P00332,I00005,uses
P00332,I00004,uses
P00333,I00005,uses
P00333,I00004,uses
P00333,I00011,uses
P00334,I00005,uses
P00334,I00004,uses
P00335,I00005,uses
P00335,I00004,uses
P00336,I00005,uses
P00336,I00008,uses
P00337,I00005,uses
P00337,I00011,uses
P00338,I00005,uses
P00339,I00005,uses
P00340,I00005,uses
P00341,I00005,uses
P00341,I00011,uses
P00342,I00005,uses
P00342,I00003,uses
P00342,I00004,uses
P00343,I00005,uses
P00343,I00023,uses
P00343,I00003,uses
P00343,I00004,uses
P00344,I00005,uses
P00344,I00011,uses
P00345,I00005,uses
P00346,I00005,uses
P00347,I00005,uses
P00347,I00011,uses
P00348,I00005,uses
P00349,I00005,uses
P00350,I00005,uses
P00350,I00003,uses
P00350,I00004,uses
P00350,I00021,uses
P00350,I00024,uses
P00351,I00005,uses
P00352,I00005,uses
P00352,I00011,uses
P00353,I00005,uses
P00354,I00005,uses
P00354,I00011,uses
P00355,I00005,uses
P00356,I00005,uses
P00357,I00005,uses
P00358,I00005,uses
P00358,I00018,uses
P00358,I00011,uses
P00359,I00005,uses
P00360,I00005,uses
P00361,I00005,uses
P00362,I00005,uses
P00363,I00005,uses
P00364,I00005,uses
P00364,I00011,uses
P00365,I00005,uses
P00366,I00005,uses
P00367,I00005,uses
P00368,I00005,uses
P00368,I00011,uses
P00369,I00005,uses
P00370,I00005,uses
P00371,I00005,uses
P00372,I00005,uses
P00373,I00005,uses
P00374,I00005,uses
P00375,I00005,uses
P00376,I00005,uses
P00376,I00011,uses
P00377,I00005,uses
P00378,I00005,uses
P00378,I00003,uses
P00378,I00004,uses
P00379,I00005,uses
P00379,I00011,uses
P00380,I00005,uses
P00380,I00011,uses
P00381,I00005,uses
P00381,I00022,uses
P00381,I00011,uses
P00382,I00005,uses
P00383,I00005,uses
P00383,I00022,uses
P00383,I00011,uses
P00384,I00005,uses
P00385,I00005,uses
P00385,I00003,uses
P00385,I00004,uses
P00386,I00005,uses
P00387,I00005,uses
P00388,I00005,uses
P00389,I00005,uses
P00390,I00005,uses
P00391,I00005,uses
P00392,I00005,uses
P00392,I00011,uses
P00393,I00005,uses
P00393,I00011,uses
P00394,I00005,uses
P00394,I00011,uses
P00395,I00005,uses
P00395,I00023,uses
P00395,I00003,uses
P00395,I00004,uses
P00396,I00005,uses
P00397,I00005,uses
P00398,I00005,uses
P00399,I00005,uses
P00400,I00005,uses
P00401,I00005,uses
P00402,I00005,uses
P00403,I00005,uses
P00404,I00005,uses
P00405,I00005,uses
P00406,I00004,uses
P00406,I00005,uses
P00407,I00005,uses
P00408,I00005,uses
P00409,I00005,uses
P00409,I00018,uses
P00410,I00005,uses
P00411,I00005,uses
P00412,I00005,uses
P00413,I00005,uses
P00414,I00005,uses
P00415,I00005,uses
P00416,I00005,uses
P00417,I00005,uses
P00417,I00011,uses
P00418,I00005,uses
P00419,I00005,uses
P00419,I00011,uses
P00420,I00005,uses
P00421,I00005,uses
P00421,I00003,uses
P00421,I00004,uses
P00422,I00005,uses
P00423,I00005,uses
P00423,I00011,uses
P00424,I00005,uses
P00425,I00005,uses
P00426,I00005,uses
P00427,I00005,uses
P00428,I00005,uses
P00429,I00005,uses
P00429,I00011,uses
P00430,I00005,uses
P00431,I00015,uses
P00431,I00005,uses
P00431,I00009,uses
P00432,I00005,uses
P00433,I00005,uses
P00434,I00005,uses
P00435,I00005,uses
P00436,I00005,uses
P00436,I00009,uses
P00437,I00005,uses
P00438,I00005,uses
P00439,I00005,uses
P00439,I00011,uses
P00440,I00005,uses
P00441,I00005,uses
P00442,I00005,uses
P00443,I00005,uses
P00443,I00010,uses
P00444,I00005,uses
P00445,I00005,uses
P00445,I00004,uses
P00446,I00005,uses
P00446,I00018,uses
P00447,I00005,uses
P00448,I00005,uses
P00449,I00005,uses
P00450,I00005,uses
P00451,I00005,uses
P00452,I00005,uses
P00453,I00005,uses
P00453,I00004,uses
P00454,I00005,uses
P00455,I00005,uses
P00456,I00005,uses
P00457,I00005,uses
P00458,I00005,uses
P00458,I00003,uses
P00458,I00004,uses
P00458,I00011,uses
P00459,I00005,uses
P00460,I00005,uses
P00461,I00005,uses
P00462,I00005,uses
P00463,I00005,uses
P00464,I00005,uses
P00464,I00011,uses
P00465,I00005,uses
P00466,I00005,uses
P00467,I00005,uses
P00468,I00005,uses
P00468,I00011,uses
P00469,I00005,uses
P00469,I00003,uses
P00469,I00004,uses
P00470,I00005,uses
P00471,I00005,uses
P00472,I00005,uses
P00473,I00005,uses
P00474,I00005,uses
P00475,I00005,uses
P00476,I00005,uses
P00477,I00005,uses
P00477,I00011,uses
P00478,I00005,uses
P00479,I00005,uses
P00479,I00003,uses
P00479,I00004,uses
P00480,I00005,uses
P00481,I00005,uses
P00482,I00005,uses
P00482,I00022,uses
P00483,I00005,uses
P00484,I00005,uses
P00485,I00005,uses
P00485,I00004,uses
P00486,I00005,uses
P00486,I00021,uses
P00487,I00005,uses
P00487,I00003,uses
P00487,I00004,uses
P00488,I00005,uses
P00489,I00005,uses
P00490,I00005,uses
P00491,I00005,uses
P00492,I00005,uses
P00493,I00005,uses
P00494,I00005,uses
P00495,I00005,uses
P00496,I00005,uses
P00497,I00005,uses
P00498,I00005,uses
P00499,I00005,uses
P00500,I00005,uses
P00501,I00005,uses
P00501,I00021,uses
P00501,I00004,uses
P00502,I00005,uses
P00502,I00011,uses
P00503,I00005,uses
P00504,I00005,uses
P00505,I00005,uses
P00506,I00005,uses
P00507,I00005,uses
P00508,I00007,uses
P00508,I00005,uses
P00508,I00006,uses
P00509,I00005,uses
P00510,I00004,uses
P00510,I00005,uses
P00510,I00003,uses
P00511,I00005,uses
P00512,I00016,uses
P00512,I00009,uses
P00513,I00018,uses
P00514,I00018,uses
P00515,I00018,uses
P00516,I00018,uses
P00517,I00018,uses
P00518,I00018,uses
P00519,I00018,uses
P00520,I00018,uses
P00521,I00018,uses
P00522,I00018,uses
P00523,I00018,uses
P00524,I00018,uses
P00525,I00018,uses
P00526,I00018,uses
P00527,I00018,uses
P00528,I00018,uses
P00529,I00018,uses
P00530,I00018,uses
P00531,I00018,uses
P00532,I00018,uses
P00532,I00003,uses
P00532,I00004,uses
P00533,I00018,uses
P00534,I00018,uses
P00535,I00018,uses
P00536,I00018,uses
P00537,I00018,uses
P00538,I00018,uses
P00539,I00018,uses
P00540,I00018,uses
P00541,I00018,uses
P00542,I00018,uses
P00543,I00018,uses
P00544,I00018,uses
P00545,I00018,uses
P00546,I00018,uses
P00547,I00018,uses
P00548,I00018,uses
P00549,I00018,uses
P00550,I00018,uses
P00550,I00011,uses
P00550,I00017,uses
P00551,I00018,uses
P00552,I00018,uses
P00552,I00004,uses
P00553,I00018,uses
P00554,I00018,uses
P00554,I00011,uses
P00555,I00018,uses
P00556,I00018,uses
P00557,I00018,uses
P00558,I00018,uses
P00559,I00018,uses
P00560,I00003,uses
P00560,I00018,uses
P00560,I00004,uses
P00560,I00011,uses
P00561,I00018,uses
P00562,I00018,uses
P00562,I00003,uses
P00562,I00004,uses
P00563,I00018,uses
P00564,I00018,uses
P00565,I00018,uses
P00566,I00009,uses
P00567,I00009,uses
P00567,I00004,uses
P00567,I00011,uses
P00568,I00009,uses
P00568,I00025,uses
P00569,I00009,uses
P00570,I00009,uses
P00571,I00013,uses
P00571,I00009,uses
P00572,I00009,uses
P00572,I00011,uses
P00573,I00009,uses
P00574,I00009,uses
P00574,I00008,uses
P00575,I00018,uses
P00575,I00011,uses
P00575,I00017,uses
P00576,I00018,uses
P00577,I00018,uses
P00578,I00018,uses
P00579,I00018,uses
P00579,I00003,uses
P00579,I00004,uses
P00580,I00018,uses
P00580,I00004,uses
P00581,I00018,uses
P00582,I00018,uses
P00583,I00018,uses
P00583,I00003,uses
P00584,I00018,uses
P00585,I00018,uses
P00585,I00003,uses
P00586,I00018,uses
P00587,I00018,uses
P00588,I00018,uses
P00589,I00018,uses
P00589,I00003,uses
P00589,I00004,uses
P00590,I00018,uses
P00590,I00003,uses
P00590,I00004,uses
P00591,I00018,uses
P00592,I00018,uses
P00592,I00003,uses
P00592,I00004,uses
P00593,I00018,uses
P00593,I00004,uses
P00594,I00018,uses
P00595,I00018,uses
P00596,I00018,uses
P00597,I00018,uses
P00598,I00018,uses
P00599,I00018,uses
P00600,I00018,uses
P00600,I00011,uses
P00601,I00018,uses
P00601,I00003,uses
P00601,I00004,uses
P00602,I00018,uses
P00603,I00018,uses
P00604,I00018,uses
P00605,I00018,uses
P00605,I00003,uses
P00605,I00004,uses
P00606,I00018,uses
P00607,I00018,uses
P00608,I00018,uses
P00609,I00018,uses
P00610,I00018,uses
P00611,I00018,uses
P00612,I00018,uses
P00612,I00003,uses
P00613,I00018,uses
P00614,I00018,uses
P00615,I00018,uses
P00616,I00018,uses
P00616,I00004,uses
P00617,I00003,uses
P00617,I00004,uses
P00617,I00018,uses
P00618,I00018,uses
P00618,I00003,uses
P00618,I00004,uses
P00619,I00018,uses
P00620,I00018,uses
P00621,I00018,uses
P00622,I00018,uses
P00622,I00003,uses
P00623,I00018,uses
P00624,I00018,uses
P00625,I00018,uses
P00626,I00018,uses
P00627,I00018,uses
P00628,I00018,uses
P00629,I00018,uses
P00629,I00004,uses
P00630,I00018,uses
P00631,I00018,uses
P00632,I00018,uses
P00633,I00018,uses
P00634,I00018,uses
P00635,I00018,uses
P00636,I00018,uses
P00637,I00018,uses
P00638,I00018,uses
P00639,I00018,uses
P00640,I00018,uses
P00641,I00018,uses
P00642,I00018,uses
P00643,I00018,uses
P00644,I00018,uses
P00645,I00018,uses
P00646,I00018,uses
P00647,I00018,uses
P00648,I00018,uses
P00649,I00018,uses
P00650,I00018,uses
P00651,I00018,uses
P00652,I00018,uses
P00653,I00018,uses
P00654,I00018,uses
P00655,I00018,uses
P00656,I00018,uses
P00656,I00017,uses
P00657,I00018,uses
P00658,I00010,uses
P00658,I00012,uses
P00659,I00010,uses
P00660,I00010,uses
P00661,I00012,uses
P00662,I00023,uses
P00663,I00023,uses
P00663,I00008,uses
P00663,I00003,uses
P00663,I00004,uses
P00664,I00006,uses
P00664,I00007,uses
P00665,I00007,uses
P00665,I00006,uses
P00666,I00007,uses
P00666,I00006,uses
P00667,I00008,uses
P00667,I00021,uses
P00667,I00003,uses
P00667,I00004,uses
P00668,I00008,uses
P00668,I00021,uses
P00668,I00003,uses
P00668,I00004,uses
P00669,I00008,uses
P00670,I00008,uses
P00670,I00003,uses
P00670,I00004,uses
P00671,I00008,uses
P00672,I00008,uses
P00672,I00003,uses
P00672,I00004,uses
P00673,I00008,uses
P00673,I00024,uses
P00673,I00021,uses
P00673,I00003,uses
P00673,I00004,uses
P00674,I00008,uses
P00674,I00003,uses
P00674,I00004,uses
P00675,I00008,uses
P00675,I00003,uses
P00675,I00004,uses
P00676,I00022,uses
P00676,I00008,uses
P00676,I00021,uses
P00676,I00024,uses
P00676,I00003,uses
P00676,I00004,uses
P00676,I00011,uses
P00677,I00008,uses
P00678,I00008,uses
P00678,I00003,uses
P00678,I00004,uses
P00679,I00008,uses
P00679,I00021,uses
P00679,I00024,uses
P00680,I00008,uses
P00681,I00008,uses
P00682,I00008,uses
P00682,I00021,uses
P00682,I00024,uses
P00682,I00003,uses
P00682,I00004,uses
P00683,I00008,uses
P00683,I00021,uses
P00683,I00024,uses
P00683,I00003,uses
P00683,I00004,uses
P00684,I00008,uses
P00685,I00008,uses
P00686,I00008,uses
P00686,I00021,uses
P00686,I00004,uses
P00687,I00008,uses
P00687,I00021,uses
P00687,I00003,uses
P00687,I00004,uses
P00688,I00008,uses
P00689,I00008,uses
P00690,I00008,uses
P00691,I00008,uses
P00691,I00003,uses
