paper_id,instrument_id,instrument_status
P00467,I00001,uses
P00468,I00006,uses
P00469,I00005,uses
P00470,I00003,uses
P00470,I00004,uses
P00470,I00001,uses
P00471,I00003,uses
P00471,I00001,uses
P00472,I00001,uses
P00473,I00003,uses
P00474,I00007,uses
P00475,I00007,uses
P00476,I00005,uses
P00477,I00007,uses
P00478,I00012,uses
P00479,I00005,uses
P00480,I00001,uses
P00481,I00003,uses
P00481,I00006,uses
P00482,I00005,uses
P00482,I00008,uses
P00483,I00001,uses
P00484,I00001,uses
P00485,I00007,uses
P00486,I00005,uses
P00487,I00008,uses
P00488,I00001,uses
P00489,I00001,uses
P00490,I00006,uses
P00491,I00005,uses
P00491,I00008,uses
P00492,I00007,uses
P00492,I00003,uses
P00493,I00007,uses
P00494,I00005,uses
P00495,I00005,uses
P00496,I00013,uses
P00496,I00005,uses
P00497,I00001,uses
P00498,I00013,uses
P00498,I00005,uses
P00498,I00007,uses
P00498,I00008,uses
P00498,I00003,uses
P00499,I00007,uses
P00500,I00007,uses
P00501,I00007,uses
P00502,I00003,uses
P00502,I00004,uses
P00502,I00001,uses
P00503,I00003,uses
P00504,I00005,uses
P00505,I00001,uses
P00506,I00001,uses
P00506,I00006,uses
P00507,I00007,uses
P00508,I00008,uses
P00509,I00001,uses
P00510,I00006,uses
P00511,I00007,uses
P00512,I00001,uses
P00513,I00010,uses
P00514,I00008,uses
P00515,I00003,uses
P00515,I00001,uses
P00516,I00007,uses
P00517,I00005,uses
P00517,I00001,uses
P00518,I00005,uses
P00519,I00001,uses
P00520,I00001,uses
P00521,I00003,uses
P00521,I00004,uses
P00521,I00001,uses
P00521,I00006,uses
P00522,I00006,uses
P00523,I00005,uses
P00524,I00006,uses
P00525,I00001,uses
P00526,I00005,uses
P00526,I00006,uses
P00527,I00003,uses
P00528,I00001,uses
P00529,I00007,uses
P00530,I00001,uses
P00531,I00001,uses
P00532,I00006,uses
P00533,I00003,uses
P00533,I00004,uses
P00533,I00001,uses
P00534,I00007,uses
P00535,I00006,uses
P00536,I00005,uses
P00536,I00001,uses
P00537,I00007,uses
P00537,I00008,uses
P00538,I00007,uses
P00539,I00001,uses
P00540,I00007,uses
P00541,I00005,uses
P00542,I00002,uses
P00543,I00003,uses
P00543,I00004,uses
P00543,I00001,uses
P00544,I00007,uses
P00545,I00003,uses
P00545,I00004,uses
P00545,I00001,uses
P00546,I00001,uses
P00547,I00006,uses
P00548,I00003,uses
P00548,I00001,uses
P00549,I00001,uses
P00550,I00005,uses
P00551,I00006,uses
P00552,I00003,uses
P00553,I00005,uses
P00554,I00007,uses
P00555,I00005,uses
P00556,I00001,uses
P00557,I00003,uses
P00558,I00007,uses
P00559,I00007,uses
P00560,I00006,uses
P00561,I00007,uses
P00562,I00006,uses
P00563,I00005,uses
P00564,I00006,uses
P00565,I00008,uses
P00565,I00006,uses
P00566,I00007,uses
P00566,I00003,uses
P00567,I00001,uses
P00568,I00003,uses
P00568,I00004,uses
P00568,I00001,uses
P00569,I00006,uses
P00570,I00006,uses
P00571,I00001,uses
P00572,I00002,uses
P00573,I00014,uses
P00574,I00007,uses
P00575,I00001,uses
P00576,I00001,uses
P00577,I00006,uses
P00578,I00001,uses
P00579,I00007,uses
P00580,I00013,uses
P00581,I00005,uses
P00582,I00003,uses
P00582,I00004,uses
P00582,I00001,uses
P00583,I00006,uses
P00584,I00003,uses
P00585,I00003,uses
P00585,I00004,uses
P00585,I00001,uses
P00586,I00001,uses
P00587,I00006,uses
P00588,I00006,uses
P00589,I00001,uses
P00590,I00001,uses
P00591,I00013,uses
P00591,I00003,uses
P00592,I00006,uses
P00593,I00007,uses
P00594,I00013,uses
P00594,I00005,uses
P00594,I00006,uses
P00595,I00006,uses
P00596,I00009,uses
P00597,I00007,uses
P00598,I00007,uses
P00599,I00003,uses
P00600,I00005,uses
P00601,I00007,uses
P00602,I00007,uses
P00603,I00006,uses
P00604,I00005,uses
P00605,I00011,uses
P00606,I00007,uses
P00607,I00005,uses
P00608,I00001,uses
P00609,I00007,uses
P00610,I00005,uses
P00611,I00006,uses
P00612,I00003,uses
P00613,I00001,uses
