author_id,author_name
A00576,Maura E. Hagan
A00577,Martin Riese
A00578,Dirk Offermann
A00579,H. J. Opgenoorth
A00580,H.E.J Koskinen
A00581,A.M Mälkki
A00582,T.I Pulkkinen
A00583,I Sandahl
A00584,E.Yu Budnik
A00585,A.O Fedorov
A00586,R.A Greenwald
A00587,K.B Baker
A00588,L.A Frank
A00589,J.B Sigwarth
A00590,W.K Peterson
A00591,J.M.C. Plane
A00592,F. Fenrich
A00593,Y.F Gao
A00594,P.J Chi
A00595,G Le
A00596,C.T Russell
A00597,D.M Yang
A00598,X Zhou
A00599,S.F Yang
A00600,V Angelopoulos
A00601,F.K Chun
A00602,P. J. Chapman
A00603,Curt A. L. Szuberla
A00604,John V. Olson
A00605,Mark J. Engebretson
A00606,M. Geoff McHarg
A00607,W. Jeffrey Hughes
A00608,Dongs-Liang Wu
A00609,D.A. Andre
A00610,J.‐P Villain
A00611,V. Krassnosel'skikh
A00612,Eftyhia Zesta
A00613,Lawrence R. Lyons
A00614,Eric Donovan
A00615,E. Borälv
A00616,Paul Eglitis
A00617,G. Reeves
A00618,P. Stauning
A00619,Stephen R. Beagley
A00620,Charles McLandress
A00621,Manju Prakash
A00622,Robert Rankin
A00623,D.L De Zeeuw
A00624,D.Y Wang
A00625,V. Besser
A00626,R. Smith
A00627,Johan De Keyser
A00628,Michel Roth
A00629,Hans De Sterck
A00630,Stefaan Poedts
A00631,J. C. Green
A00632,M. G. Kivelson
A00633,Y.J Rochon
A00634,S.P Zhang
A00635,R.H Wiens
A00636,D.Y Liang
A00637,W.A Gault
A00638,C.S. Haley
A00639,I.C. McDade
A00640,S.M.L. Melo
A00641,Alan J. Stocker
A00642,P. B. V. Subba Rao
A00643,I. Vitorello
A00644,A. Fazakerley
A00645,H. Opgenoorth
A00646,M. Dunlop
A00647,J.-M. Bosqued
A00648,G. Lu
A00649,C. Cully
A00650,I. W. McCrea
A00651,M. A. Hapgood
A00652,M. N. Wild
A00653,R. Stamper
A00654,W. Denig
A00655,M. Taylor
A00656,O. Amm
A00657,K. Kauristie
A00658,T. Pulkkinen
A00659,A. Strømme
A00660,P. Prikryl
A00661,F. Pitout
A00662,A. Balogh
A00663,H. Rème
A00664,R. Behlke
A00665,T. Hansen
A00666,R. Greenwald
A00667,H. Frey
A00668,S. K. Morley
A00669,P.-L. Blelly
A00670,E. Donovan
A00671,M. Engebretson
A00672,M. F. Marcucci
A00673,M. J. Engebretson
A00674,J. Waterman
A00675,H. Alleyne
A00676,M. André
A00677,M. W. Dunlop
A00678,N. Cornilleau-Wehrlin
A00679,A. Masson
A00680,A. Fazerkerley
A00681,P. L. Blelly
A00682,H. Boholm
A00683,J. M. Bosqued
A00684,S. Buchert
A00685,M. Candidi
A00686,J. C. Cerisier
A00687,B. Jackal
A00688,J. D. Kelly
A00689,I. Krauklis
A00690,M. Maksimovic
A00691,S. Massetti
A00692,P. M. E. Décréau
A00693,S. Orsini
A00694,J. J. Schott
A00695,F. Sedgemore-Schulthess
A00696,A. Vaivads
A00697,M. Wild
A00698,M. V. Uspensky
A00699,A. Huuskonen
A00700,R. Pirjola
A00701,W. A. Bristow
A00702,D. Lummerzheim
A00703,V.T. Tikhonchuk
A00704,E. Friedrich
A00705,H. Khan
A00706,K.-H. Fornaçon
A00707,D. Monselesan
A00708,P. Wilkinson
A00709,I. J. Rae
A00710,J. Storey
A00711,A. B. Stockton‐Chalk
A00712,J. L. Roeder
A00713,K. J. Trattner
A00714,Kirsti Kauristie
A00715,Tuija I. Pulkkinen
A00716,Olaf Amm
A00717,Ari Viljanen
A00718,Mikko Syrjäsuo
A00719,P. Janhunen
A00720,Stefano Massetti
A00721,Stefano Orsini
A00722,Juergen Watermann
A00723,Ian. R. Mann
A00724,Charles Smith
A00725,Malcolm Dunlop
A00726,P. J. Lacroix
A00727,Ryuho Kataoka
A00728,H. Fukunishi
A00729,L. J. Lanzerotti
A00730,C. G. Maclennan
A00731,Harald U. Frey
