paper_id,instrument_id,instrument_status
P00196,I00005,uses
P00197,I00002,uses
P00197,I00005,uses
P00198,I00002,uses
P00198,I00003,uses
P00199,I00002,uses
P00200,I00002,uses
P00200,I00005,uses
P00201,I00002,uses
P00201,I00001,uses
P00202,I00002,uses
P00202,I00001,uses
P00203,I00002,uses
P00203,I00001,uses
P00203,I00005,uses
P00204,I00002,uses
P00204,I00005,uses
P00205,I00002,uses
P00205,I00001,uses
P00206,I00002,uses
P00206,I00001,uses
P00206,I00008,uses
P00207,I00002,uses
P00207,I00001,uses
P00208,I00002,uses
P00208,I00005,uses
P00208,I00003,uses
P00209,I00002,uses
P00209,I00001,uses
P00210,I00002,uses
P00210,I00005,uses
P00211,I00002,uses
P00211,I00005,uses
P00211,I00003,uses
P00212,I00002,uses
P00212,I00005,uses
P00213,I00002,uses
P00213,I00005,uses
P00214,I00002,uses
P00214,I00005,uses
P00215,I00002,uses
P00215,I00005,uses
P00216,I00002,uses
P00216,I00005,uses
P00217,I00002,uses
P00217,I00001,uses
P00218,I00002,uses
P00218,I00005,uses
P00219,I00002,uses
P00219,I00005,uses
P00220,I00002,uses
P00220,I00001,uses
P00221,I00002,uses
P00221,I00005,uses
P00222,I00002,uses
P00222,I00003,uses
P00223,I00002,uses
P00223,I00001,uses
P00224,I00002,uses
P00224,I00001,uses
P00225,I00002,uses
P00226,I00002,uses
P00226,I00001,uses
P00227,I00002,uses
P00227,I00001,uses
P00227,I00005,uses
P00228,I00002,uses
P00228,I00001,uses
P00229,I00002,uses
P00229,I00005,uses
P00230,I00002,uses
P00230,I00001,uses
P00231,I00002,uses
P00231,I00005,uses
P00232,I00002,uses
P00232,I00001,uses
P00233,I00002,uses
P00234,I00002,uses
P00234,I00001,uses
P00235,I00002,uses
P00235,I00005,uses
P00236,I00002,uses
P00236,I00001,uses
P00237,I00002,uses
P00237,I00001,uses
P00237,I00003,uses
P00238,I00002,uses
P00238,I00001,uses
P00238,I00003,uses
P00239,I00002,uses
P00239,I00005,uses
P00240,I00002,uses
P00240,I00001,uses
P00241,I00002,uses
P00241,I00001,uses
P00242,I00002,uses
P00242,I00001,uses
P00243,I00002,uses
P00243,I00001,uses
P00244,I00002,uses
P00244,I00005,uses
P00245,I00002,uses
P00245,I00001,uses
P00246,I00002,uses
P00246,I00005,uses
P00247,I00002,uses
P00247,I00003,uses
P00248,I00002,uses
P00248,I00005,uses
P00249,I00002,uses
P00249,I00005,uses
P00250,I00002,uses
P00250,I00003,uses
P00251,I00002,uses
P00251,I00001,uses
P00252,I00002,uses
P00252,I00005,uses
P00253,I00002,uses
P00253,I00005,uses
P00254,I00002,uses
P00254,I00001,uses
P00254,I00009,uses
P00255,I00002,uses
P00255,I00001,uses
P00255,I00005,uses
P00256,I00002,uses
P00256,I00001,uses
P00257,I00002,uses
P00257,I00003,uses
P00258,I00002,uses
P00258,I00001,uses
P00259,I00002,uses
P00259,I00001,uses
P00260,I00004,uses
P00260,I00002,uses
P00260,I00001,uses
P00261,I00004,uses
P00261,I00002,uses
P00261,I00001,uses
P00262,I00002,uses
P00262,I00005,uses
P00263,I00002,uses
P00263,I00001,uses
P00264,I00004,uses
P00265,I00002,uses
P00265,I00003,uses
P00266,I00004,uses
P00266,I00002,uses
P00266,I00001,uses
P00267,I00004,uses
P00267,I00002,uses
P00267,I00001,uses
P00268,I00004,uses
P00269,I00002,uses
P00269,I00005,uses
P00270,I00002,uses
P00270,I00003,uses
P00271,I00002,uses
P00271,I00001,uses
P00272,I00002,uses
P00272,I00001,uses
P00272,I00005,uses
P00272,I00003,uses
P00273,I00002,uses
P00273,I00001,uses
P00273,I00005,uses
P00273,I00003,uses
P00274,I00002,uses
P00274,I00005,uses
P00275,I00002,uses
P00275,I00005,uses
P00276,I00002,uses
P00276,I00001,uses
P00276,I00003,uses
P00277,I00002,uses
P00277,I00001,uses
P00278,I00004,uses
P00278,I00002,uses
P00278,I00001,uses
P00279,I00002,uses
P00279,I00009,uses
P00280,I00002,uses
P00280,I00005,uses
P00281,I00002,uses
P00281,I00005,uses
P00282,I00002,uses
P00282,I00003,uses
P00283,I00002,uses
P00283,I00001,uses
P00284,I00002,uses
P00284,I00009,uses
P00285,I00002,uses
P00285,I00001,uses
P00286,I00002,uses
P00286,I00001,uses
P00286,I00005,uses
P00287,I00002,uses
P00287,I00005,uses
P00288,I00002,uses
P00288,I00003,uses
P00289,I00004,uses
P00289,I00002,uses
P00289,I00001,uses
P00290,I00002,uses
P00290,I00005,uses
P00291,I00002,uses
P00291,I00005,uses
P00292,I00002,uses
P00292,I00010,uses
P00293,I00002,uses
P00293,I00001,uses
P00294,I00002,uses
P00294,I00001,uses
P00295,I00002,uses
P00295,I00001,uses
P00296,I00002,uses
P00296,I00001,uses
P00297,I00002,uses
P00297,I00001,uses
P00298,I00002,uses
P00298,I00003,uses
P00299,I00002,uses
P00299,I00005,uses
P00300,I00002,uses
P00300,I00005,uses
P00301,I00002,uses
P00301,I00005,uses
P00302,I00002,uses
P00302,I00001,uses
P00302,I00003,uses
P00303,I00002,uses
P00303,I00001,uses
P00304,I00002,uses
P00305,I00002,uses
P00305,I00001,uses
P00306,I00002,uses
P00306,I00005,uses
P00307,I00002,uses
P00307,I00001,uses
P00308,I00002,uses
P00308,I00001,uses
P00308,I00008,uses
P00309,I00002,uses
P00309,I00003,uses
P00310,I00002,uses
P00310,I00001,uses
P00311,I00002,uses
P00311,I00001,uses
P00312,I00002,uses
P00312,I00005,uses
P00313,I00002,uses
P00313,I00005,uses
P00313,I00003,uses
P00314,I00002,uses
P00314,I00001,uses
P00315,I00002,uses
P00315,I00005,uses
P00316,I00002,uses
P00316,I00001,uses
P00316,I00008,uses
P00317,I00002,uses
P00317,I00005,uses
P00318,I00002,uses
P00318,I00005,uses
P00319,I00002,uses
P00319,I00001,uses
P00319,I00005,uses
P00320,I00002,uses
P00320,I00005,uses
P00321,I00002,uses
P00321,I00005,uses
P00322,I00002,uses
P00322,I00001,uses
P00322,I00005,uses
P00323,I00002,uses
P00323,I00001,uses
P00323,I00005,uses
P00324,I00004,uses
P00325,I00002,uses
P00325,I00005,uses
P00326,I00002,uses
P00326,I00001,uses
P00327,I00002,uses
P00327,I00001,uses
P00328,I00002,uses
P00328,I00001,uses
P00329,I00002,uses
P00329,I00005,uses
P00330,I00002,uses
P00330,I00005,uses
P00331,I00002,uses
P00331,I00005,uses
P00332,I00002,uses
P00332,I00001,uses
P00333,I00002,uses
P00333,I00005,uses
P00334,I00002,uses
P00334,I00005,uses
P00335,I00002,uses
P00335,I00005,uses
P00336,I00002,uses
P00336,I00005,uses
P00337,I00002,uses
P00337,I00001,uses
P00338,I00002,uses
P00338,I00005,uses
P00339,I00002,uses
P00339,I00001,uses
P00340,I00002,uses
P00340,I00003,uses
P00341,I00002,uses
P00341,I00001,uses
P00342,I00002,uses
P00342,I00001,uses
P00343,I00002,uses
P00343,I00001,uses
P00343,I00003,uses
P00344,I00002,uses
P00344,I00005,uses
P00345,I00002,uses
P00345,I00003,uses
P00346,I00002,uses
P00346,I00005,uses
P00347,I00002,uses
P00347,I00001,uses
P00348,I00002,uses
P00348,I00003,uses
P00349,I00002,uses
P00349,I00005,uses
P00350,I00002,uses
P00350,I00001,uses
P00351,I00002,uses
P00351,I00005,uses
P00352,I00002,uses
P00352,I00005,uses
P00353,I00002,uses
P00353,I00005,uses
P00354,I00002,uses
P00354,I00001,uses
P00355,I00002,uses
P00355,I00001,uses
P00356,I00002,uses
P00356,I00001,uses
P00357,I00002,uses
P00357,I00005,uses
P00358,I00002,uses
P00358,I00005,uses
P00359,I00002,uses
P00359,I00005,uses
P00360,I00002,uses
P00360,I00005,uses
P00361,I00004,uses
P00361,I00002,uses
P00361,I00001,uses
P00362,I00002,uses
P00362,I00001,uses
P00363,I00002,uses
P00363,I00005,uses
P00364,I00002,uses
P00364,I00005,uses
P00365,I00002,uses
P00365,I00001,uses
P00365,I00005,uses
P00366,I00002,uses
P00366,I00005,uses
P00367,I00004,uses
P00368,I00004,uses
P00368,I00002,uses
P00368,I00001,uses
P00369,I00002,uses
P00369,I00005,uses
P00370,I00004,uses
P00371,I00002,uses
P00371,I00001,uses
P00372,I00002,uses
P00372,I00005,uses
P00373,I00004,uses
P00374,I00002,uses
P00374,I00009,uses
P00374,I00005,uses
P00374,I00003,uses
P00375,I00004,uses
P00376,I00002,uses
P00376,I00005,uses
P00376,I00003,uses
P00377,I00002,uses
P00377,I00001,uses
P00378,I00002,uses
P00378,I00005,uses
P00379,I00002,uses
P00379,I00001,uses
P00380,I00002,uses
P00380,I00001,uses
P00381,I00002,uses
P00381,I00001,uses
P00382,I00002,uses
P00382,I00005,uses
P00383,I00002,uses
P00383,I00005,uses
P00384,I00002,uses
P00384,I00005,uses
P00385,I00002,uses
P00385,I00005,uses
P00386,I00002,uses
P00386,I00005,uses
P00387,I00002,uses
P00387,I00001,uses
P00387,I00009,uses
P00388,I00002,uses
P00388,I00001,uses
P00389,I00002,uses
P00389,I00008,uses
P00389,I00005,uses
P00390,I00002,uses
P00390,I00005,uses
P00391,I00002,uses
P00391,I00001,uses
P00392,I00002,uses
P00392,I00005,uses
P00393,I00002,uses
P00393,I00005,uses
P00394,I00002,uses
P00394,I00001,uses
P00395,I00002,uses
P00395,I00001,uses
P00396,I00002,uses
P00396,I00001,uses
P00396,I00005,uses
P00397,I00002,uses
P00397,I00005,uses
P00398,I00002,uses
